idMLL	id	Type	Sub	Ori	LblEN	LblLNG	LastUpd	LastUpdTrad	User	Lng
449	15246	Typ	Reg	TbAct	Variant databases	Rejestry mutacji/Bazy danych	2018-04-06 14:54:00	2018-04-12	dkarczma	pl	
451	15252	Typ	Reg	TbAct	Cell lines	Linie komórkowe	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
453	15258	Typ	Reg	TbAct	Animal models	Modele zwierzęce	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
455	15264	Typ	Reg	TbAct	Constructs	Konstrukt	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
457	15270	Typ	Reg	TbAct	Antibodies	Przeciwciała	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
459	15276	Typ	Reg	TbAct	Oligonucleotides	Oligonukleotydy	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
461	15282	Typ	Reg	TbAct	Peptides	Peptydy	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
463	15288	Typ	Tch	TbAct	Technology and know-how	Technologia i know-how	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
465	15294	Typ	Tch	TbAct	In vivo imaging	Obrazowanie in vivo	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
467	15300	Typ	Tch	TbAct	Cell and molecular imaging	Obrazowanie komórkowe i molekularne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
469	15306	Typ	Tch	TbAct	Electron microscopy	Mikroskopia elektronowa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
471	15312	Typ	Tch	TbAct	Genomic analysis	Analiza genomu	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
473	15318	Typ	Tch	TbAct	Transcriptomic analysis	Analiza transkryptomiczna	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
475	15324	Typ	Tch	TbAct	Proteomic analysis	Analiza proteomiczna	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
477	15330	Typ	Tch	TbAct	Metabolomic / Lipidomic	Metabolomiczny/Lipidomiczny	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
479	15336	Typ	Tch	TbAct	Bioinformatics	Bioinformatyka	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
481	15342	Typ	Tch	TbAct	Structural biology	Biologia strukturalna	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
483	15348	Typ	Tch	TbAct	Animal facilities. Animal models. Functional exploration and phenotyping	Modele zwierzęce. Badanie funkcjonalne i fenotypowanie	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
485	15354	Typ	Tch	TbAct	Chemical library / High-throughput drug screening	Biblioteka chemiczna/ Wysokowydajne badanie przesiewowe leku	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
487	15360	Typ	Tch	TbAct	Production / purification of molecules	Produkcja / oczyszczanie cząsteczek	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
489	15366	Typ	Tch	TbAct	Small sample methodologists and statistical specialists	Metodolodzy od małej próby i specjaliści od statystyki	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
491	15372	Typ	Tch	TbAct	High-throughput data analysis specialists	Specjaliści od analizy  danych z wysokoprzepustowych technik	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
493	15378	Typ	Tch	TbAct	CMO for gene and cell therapies	CMO dla terapii genowych i komórkowych	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
495	15384	Typ	Tch	TbAct	Academic clinical facilities	Obiekty akademickie kliniczne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
497	15390	Typ	Tch	TbAct	Functional exploration experts	Eksperci od badań funkcjonalnych	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
499	15396	Cvg	Nnn	TbAct	Not defined	Niezdefiniowany	2009-09-30 18:51:00	2018-04-12	dkarczma	pl	
501	15486	Typ	Dgs	TbAct	Diagnostic	Diagnostyczny	2009-10-15 18:04:00	2018-04-12	dkarczma	pl	
503	15492	Typ	Dgs	TbAct	Molecular genetics (constitutional)		2012-02-24 09:53:00		hanauer	pl	
505	15498	Typ	Dgs	TbAct	Molecular genetics (somatic)		2012-02-24 09:53:00		hanauer	pl	
507	15504	Typ	Dgs	TbAct	Molecular cytogenetics (constitutional)		2012-02-24 09:53:00		hanauer	pl	
509	15510	Typ	Dgs	TbAct	Molecular cytogenetics (somatic)		2012-02-24 09:53:00		hanauer	pl	
511	15516	Typ	Dgs	TbAct	Biochemical genetics		2012-02-24 09:53:00		hanauer	pl	
513	15522	Typ	Dgs	TbAct	Anatomo-pathology		2012-02-24 09:53:00		hanauer	pl	
515	15528	Typ	Dgs	TbAct	Parasitology		2012-02-24 09:53:00		hanauer	pl	
517	15534	Typ	Dgs	TbAct	Immunology		2012-02-24 09:53:00		hanauer	pl	
519	15540	Typ	Dgs	TbAct	Hematology		2012-02-24 09:53:00		hanauer	pl	
521	15546	Typ	Dgs	TbAct	Bacteriology		2012-02-24 09:53:00		hanauer	pl	
523	15552	Typ	Dgs	TbAct	Virology		2012-02-24 09:53:00		hanauer	pl	
525	15558	Typ	Dgs	TbAct	Conventional cytogenetics		2012-02-24 09:53:00		hanauer	pl	
527	15564	Typ	Dgs	TbAct	Pharmacogenetics		2012-02-24 09:53:00		hanauer	pl	
529	15570	Typ	Dgs	TbAct	Molecular imaging		2012-02-24 09:53:00		hanauer	pl	
531	15690	Typ	Dgs	TbAct	Not defined		2012-02-24 09:53:00		hanauer	pl	
533	16613	Typ	Dgs	TbAct	Array-CGH		2012-02-24 09:53:00		hanauer	pl	
535	16619	Txt	Abs	TbPatTxt	Summary information	Streszczenie informacji	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
537	16625	Txt	Car	TbPatTxt	Emergency card	Karta ratunkowa	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
539	16631	Txt	Ans	TbPatTxt	Anesthesia guidelines	Wytyczne dotyczące znieczulenia	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
541	16637	Txt	Ggt	TbPatTxt	Guidance for genetic testing	Wytyczne dla badań genetycznych	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
543	16907	Abs	Def	TbPatTxt	Disease definition	Definicja choroby	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
545	16913	Abs	Epi	TbPatTxt	Epidemiology	Epidemiologia	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
547	16919	Abs	Cln	TbPatTxt	Clinical description	Obraz kliniczny	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
549	16925	Abs	Eti	TbPatTxt	Etiology	Etiologia	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
551	16931	Abs	Dgs	TbPatTxt	Diagnostic methods	Metody diagnostyczne	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
553	16937	Abs	Dif	TbPatTxt	Differential diagnosis	Rozpoznanie różnicowe	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
555	16943	Abs	Ant	TbPatTxt	Antenatal diagnosis	Diagnostyka prenatalna	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
557	16949	Abs	Gnt	TbPatTxt	Genetic counseling	Poradnictwo genetyczne	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
559	16955	Abs	Trt	TbPatTxt	Management and treatment	Postępowanie i lecznie	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
561	16961	Abs	Prg	TbPatTxt	Prognosis	Rokowanie	2011-07-19 17:18:00	2018-04-12	dkarczma	pl	
563	16967	Abs	Old	TbPatTxt	Old section part 1		2011-07-19 17:18:00		hanauer	pl	
565	16976	Abs	Bis	TbPatTxt	Old section part 2		2011-07-19 18:30:00		dbo	pl	
567	17234	Txt	Mul	TbPatTxt	Multimedia	Multimedia	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
569	17685	Txt	Cgr	TbPatTxt	Clinical genetics review	Przegląd genetyki klinicznej	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
571	17949	Ass	Gen	TlPHP	Disease-causing germline mutation(s) in	Choroba spowodowana mutacjami germinalnymi	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
573	17955	Ass	Gen	TlPHP	Disease-causing somatic mutation(s) in	Choroba spowodowana mutacjami somatycznymi	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
575	17961	Ass	Gen	TlPHP	Major susceptibility factor in	Główny czynnik podatności w	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
577	17967	Ass	Gen	TlPHP	Modifying germline mutation in	Modyfikujące mutacje germinalne w 	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
579	17973	Ass	Gen	TlPHP	Modifying somatic mutation in	Modyfikujące mutacje somatyczne w 	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
581	17979	Ass	Gen	TlPHP	Part of a fusion gene in	Część połączonego genu w 	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
583	17985	Ass	Gen	TlPHP	Role in the phenotype of	Rola w fenotypie	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
585	17991	Sta	Nnn	TlPHP	Assessed	Oceniony 	2014-09-15 14:36:00	2018-04-12	dkarczma	pl	
587	17997	Sta	Nnn	TlPHP	Not yet assessed	Jeszcze nie oceniony	2014-09-15 14:36:00	2018-04-12	dkarczma	pl	
589	18231	Typ	Tch	TbAct	IRDiRC	IRDiRC	2013-02-27 16:12:00	2018-04-12	dkarczma	pl	
591	18237	Typ	Rcl	TbAct	IRDiRC	IRDiRC	2013-02-27 16:12:00	2018-04-12	dkarczma	pl	
593	18243	Typ	Rch	TbAct	IRDiRC	IRDiRC	2013-02-27 16:12:00	2018-04-12	dkarczma	pl	
595	18249	Typ	Reg	TbAct	IRDiRC	IRDiRC	2013-02-27 16:12:00	2018-04-12	dkarczma	pl	
597	18273	Ass	Gen	TlPHP	Candidate gene tested in	Gen kandydat badany w 	2016-12-16 14:19:00	2018-04-12	dkarczma	pl	
599	21016	Txt	Han	TbPatTxt	Disability factsheet	Zestawienie informacji o niepełnosprawności	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
601	21394	Typ	Dis	TbPat	Disease	Choroba	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
603	21401	Typ	Dis	TbPat	Malformation syndrome	Zespół wad wrodzonych	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
605	21408	Typ	Dis	TbPat	Biological anomaly	Wada biologiczna	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
607	21415	Typ	Dis	TbPat	Morphological anomaly	Wada morfologiczna	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
609	21422	Typ	Dis	TbPat	Clinical syndrome	Zespół kliniczny	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
611	21429	Typ	Dis	TbPat	Particular clinical situation in a disease or syndrome	Szczególna sytuacja w chorobie lub zespole	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
613	21436	Typ	Nnn	TbPat	Group of phenomes	Grupa fenomenów	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
615	21443	Typ	Nnn	TbPat	Etiological subtype	Podtyp etiologiczny	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
617	21450	Typ	Nnn	TbPat	Clinical subtype	Podtyp kliniczny	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
619	21457	Typ	Nnn	TbPat	Histopathological subtype	Podtyp histopatologiczny	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
621	21464	Typ	Nnn	TbPat	No type	Brak typu	2014-09-15 14:35:00	2018-04-12	dkarczma	pl	
623	21471	Ass	Pat	TlPHP	Moved to	Przeniesione do	2014-09-15 14:36:00	2018-04-12	dkarczma	pl	
625	21478	Ass	Pat	TlPHP	Described under	Opisane w 	2014-09-15 14:36:00	2018-04-12	dkarczma	pl	
627	21485	Ass	Pat	TlPHP	Preferential parent	Uprzywilejowany rodzic	2014-09-15 14:36:00	2018-04-12	dkarczma	pl	
629	21527	Rel	Nnn	TbPatRef	E (exact mapping (the terms and the concepts are equivalent))	E (dokładne mapowanie (terminy i pojęcia są równoważne)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
631	21534	Rel	Nnn	TbPatRef	NTBT (narrower term maps to a broader term)	NTBT (pojęcie o węższym znaczeniu pasuje do pojęcia o szerszym znaczeniu)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
633	21541	Rel	Nnn	TbPatRef	BTNT (broader term maps to a narrower term)	BTNT (pojęcie o szerszym znaczeniu pasuje do pojęcia o węższym znaczeniu)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
635	21548	Rel	Nnn	TbPatRef	W (incorrect mapping (two different concepts)	W (nieprawidłowe mapowanie (dwa różne pojęcia)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
637	21555	Rel	Nnn	TbPatRef	NTBT/E (narrower term maps to a broader term because of an exact mapping with a synonym in the target terminology)	NTBT/E (pojęcie o węższym znaczenie pasuje do pojęcia o szerszym znaczeniu ze względu na dokładne mapowanie do synonimu w wybranej terminologii)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
639	21562	Rel	Nnn	TbPatRef	BTNT/E (broader term maps to a narrower term because of an exact mapping with a synonym in the target terminology)	BTNT/E (pojęcie o szerszym znaczenie pasuje do pojęcia o węższym znaczeniu ze względu na dokładne mapowanie do synonimu w wybranej terminologii)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
641	21569	Rel	Nnn	TbPatRef	W/E (incorrect mapping (two different concepts) but syntactically exact mapping to a synonym or a preferred term in the target terminology)	W/E (nieprawidłowe mapowanie (dwa różne pojęcia), ale składniowo dokładne mapowanie do synonimu lub preferowanego pojęcia we wskazanej terminologii)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
643	21576	Rel	Nnn	TbPatRef	ND (not yet decided/unable to decide)	ND (brak decyzji/brak możliwości podjęcia decyzji)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
645	21583	Snd	Nnn	TbPatRef	Specific code (The term has its own code in the ICD10)	Określony kod (Ten termin ma swój własny kod w ICD10)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
647	21590	Snd	Nnn	TbPatRef	Inclusion term (The term is included under a ICD10 category and has not its own code)	Termin włączający (Ten termin jest ujęty w kategorii ICD10 i nie ma swojego własnego kodu)	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
649	21597	Snd	Nnn	TbPatRef	Index term	Termin indeksowy	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
651	21604	Snd	Nnn	TbPatRef	Attributed	Przypisane	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
653	21611	Sta	Nnn	TbPatRef	Validated	Zwalidowany	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
655	21618	Sta	Nnn	TbPatRef	Not yet validated	Jeszcze niezwalidowane	2014-09-15 14:37:00	2018-04-12	dkarczma	pl	
657	22990	Txt	Cri	TbPatTxt	Diagnostic criteria	Kryteria diagnostyczne	2014-06-27 14:38:00	2018-04-12	dkarczma	pl	
659	23368	Def	Phe	TbPatTxt	This term does not characterize a disease but a group of diseases. To learn about the diseases included under this term, you can consult the classifications.	Ten termin nie opisuje jednej choroby, ale grupę chorób. Aby dowiedzieć się więcej o chorobach określanych tym terminem możesz sprawdzić klasyfikacje.	2014-10-06 11:47:00	2018-04-12	dkarczma	pl	
661	23375	Def	Cnd	TbPatTxt	This is a rare condition for which there is a European and/or American orphan designation.	To jest choroba rzadka, dla której w Europie i(lub) Ameryce jest lek z desygnacją sierocą	2014-10-06 11:47:00	2018-04-12	dkarczma	pl	
663	23382	Def	Phr	TbPatTxt	This term designates an indication for a pharmacogenetic test.	Ten termin wyznacza wskazanie dla badania farmakogenetycznego.	2014-10-06 11:47:00	2018-04-12	dkarczma	pl	
665	23389	Def	Und	TbPatTxt	This disease is described under	Choroba jes opisana w 	2014-09-18 15:15:00	2018-04-12	dkarczma	pl	
667	23396	Def	Mov	TbPatTxt	This disease has been moved to	Ta choroba została przeniesiona do	2014-09-19 16:34:00	2018-04-12	dkarczma	pl	
669	23403	Def	Def	TbPatTxt	An Orphanet summary for this disease is currently under development. However, other data related to the disease are accessible from the Additional Information menu located at the bottom of this page.	Streszczenie informacji o tej chorobie w Orphanecie jest w trakcie tworznia. Jednakże inne dane dotyczące tej choroby są dostępne w menu "Dodatkowe Informacje" po prawej stronie tej witryny.	2017-04-06 13:52:00	2018-04-12	dkarczma	pl	
671	23578	Epi	Dec	TbPatEpi	embryofetal		2014-09-15 14:38:00		dbo	pl	
673	23585	Epi	Dec	TbPatEpi	stillbirth		2014-09-15 14:38:00		dbo	pl	
675	23592	Epi	Dec	TbPatEpi	infantile		2014-09-15 14:38:00		dbo	pl	
677	23599	Epi	Dec	TbPatEpi	early childhood		2014-09-15 14:38:00		dbo	pl	
679	23606	Epi	Dec	TbPatEpi	late childhood		2014-09-15 14:38:00		dbo	pl	
681	23613	Epi	Dec	TbPatEpi	adolescent		2014-09-15 14:38:00		dbo	pl	
683	23620	Epi	Dec	TbPatEpi	young Adult		2014-09-15 14:38:00		dbo	pl	
685	23627	Epi	Dec	TbPatEpi	adult		2014-09-15 14:38:00		dbo	pl	
687	23634	Epi	Dec	TbPatEpi	elderly		2014-09-15 14:38:00		dbo	pl	
689	23641	Epi	Dec	TbPatEpi	normal life expectancy		2014-09-15 14:38:00		dbo	pl	
691	23648	Epi	Dec	TbPatEpi	any age		2014-09-15 14:38:00		dbo	pl	
693	23655	Epi	Dec	TbPatEpi	No data available		2014-09-15 14:38:00		dbo	pl	
695	23662	Epi	Dec	TbPatEpi	Not yet documented		2014-09-15 14:38:00		dbo	pl	
697	23669	Typ	Pnt	TbPatPrv	Point prevalence	Częstość występowania punktowa	2014-09-15 14:55:00	2018-04-12	dkarczma	pl	
699	23676	Typ	Ann	TbPatPrv	Annual incidence	Roczna częstość występowania	2014-09-15 14:55:00	2018-04-12	dkarczma	pl	
701	23683	Typ	Bth	TbPatPrv	Prevalence at birth	Częstość występowania przy narodzinach	2014-09-15 14:55:00	2018-04-12	dkarczma	pl	
703	23690	Typ	Lif	TbPatPrv	Lifetime Prevalence	Częstość występowania w ciągu całego życia	2014-09-15 14:55:00	2018-04-12	dkarczma	pl	
705	23697	Typ	Cfa	TbPatPrv	Cases/families	Przypadki/rodziny	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
707	23704	Sub	Cla	TbPatPrv	Class only	Tylko klasa	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
709	23711	Sub	Val	TbPatPrv	Value and class	Wartość i klasa	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
711	23718	Sub	Cas	TbPatPrv	Case	Przypadek	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
713	23725	Sub	Fam	TbPatPrv	Family	Rodzina	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
715	23732	Cls	Nnn	TbPatPrv	1-5 / 10 000	1-5 / 10 000	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
717	23739	Cls	Nnn	TbPatPrv	1-9 / 1 000 000	1-9 / 1 000 000	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
719	23746	Cls	Nnn	TbPatPrv	1-9 / 100 000	1-9 / 100 000	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
721	23753	Cls	Nnn	TbPatPrv	6-9 / 10 000	6-9 / 10 000	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
723	23760	Cls	Nnn	TbPatPrv	<1 / 1 000 000	<1 / 1 000 000	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
725	23767	Cls	Nnn	TbPatPrv	>1 / 1000	>1 / 1000	2014-09-15 10:33:00	2018-04-12	dkarczma	pl	
727	23774	Cls	Nnn	TbPatPrv	Unknown	nieznany	2014-09-15 14:55:00	2018-04-12	dkarczma	pl	
729	23781	Cls	Nnn	TbPatPrv	Not yet documented	Jeszcze nie udokumentowany	2014-09-15 14:55:00	2018-04-12	dkarczma	pl	
731	23788	Geo	Reg	TbPatPrv	Africa	AFRYKA	2014-09-15 15:25:00	2018-04-12	dkarczma	pl	
733	23795	Geo	Reg	TbPatPrv	Europe	Europa	2014-09-15 15:25:00	2018-04-12	dkarczma	pl	
735	23802	Geo	Reg	TbPatPrv	Oceania		2014-09-15 15:25:00		dbo	pl	
737	23809	Geo	Reg	TbPatPrv	North America		2014-09-15 15:25:00		dbo	pl	
739	23816	Geo	Reg	TbPatPrv	Latin America		2014-09-15 15:25:00		dbo	pl	
741	23823	Geo	Reg	TbPatPrv	Eastern Mediterranean Asia		2014-09-15 15:25:00		dbo	pl	
743	23830	Geo	Reg	TbPatPrv	South East Asia		2014-09-15 15:25:00		dbo	pl	
745	23837	Geo	Reg	TbPatPrv	Western Asia		2014-09-15 15:25:00		dbo	pl	
747	23844	Geo	Reg	TbPatPrv	Worldwide		2014-09-15 15:25:00		dbo	pl	
749	23851	Geo	Reg	TbPatPrv	Not defined	Niezdefiniowany	2014-09-15 15:25:00	2018-04-12	dkarczma	pl	
751	23858	Geo	Nnn	TbPatPrv	Afghanistan	AFGANISTAN	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
753	23865	Geo	Nnn	TbPatPrv	Aland islands	WYSPY ALANDZKIE	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
755	23872	Geo	Nnn	TbPatPrv	Albania		2014-09-15 15:09:00		dbo	pl	
757	23879	Geo	Nnn	TbPatPrv	Algeria	ALGIERIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
759	23886	Geo	Nnn	TbPatPrv	American samoa	SAMOA AMERYKAŃSKIE	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
761	23893	Geo	Nnn	TbPatPrv	Andorra	ANDORA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
763	23900	Geo	Nnn	TbPatPrv	Angola	ANGOLA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
765	23907	Geo	Nnn	TbPatPrv	Anguilla	ANGUILLA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
767	23914	Geo	Nnn	TbPatPrv	Antarctica	ANTARKTYDA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
769	23921	Geo	Nnn	TbPatPrv	Antigua and barbuda	ANTIGUA I BARBUDA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
771	23928	Geo	Nnn	TbPatPrv	Argentina	ARGENTYNA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
773	23935	Geo	Nnn	TbPatPrv	Armenia	ARMENIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
775	23942	Geo	Nnn	TbPatPrv	Aruba	ARUBA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
777	23949	Geo	Nnn	TbPatPrv	Australia	Australia	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
779	23956	Geo	Nnn	TbPatPrv	Austria	AUSTRIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
781	23963	Geo	Nnn	TbPatPrv	Azerbaijan	AZERBEJDZAN	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
783	23970	Geo	Nnn	TbPatPrv	Bahamas	WYSPY BAHAMA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
785	23977	Geo	Nnn	TbPatPrv	Bahrain	BAHRAJN	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
787	23984	Geo	Nnn	TbPatPrv	Bangladesh	BANGLADESZ	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
789	23991	Geo	Nnn	TbPatPrv	Barbados	BARBADOS	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
791	23998	Geo	Nnn	TbPatPrv	Belarus	BIAŁORUŚ	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
793	24005	Geo	Nnn	TbPatPrv	Belgium	BELGIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
795	24012	Geo	Nnn	TbPatPrv	Belize	BELIZE	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
797	24019	Geo	Nnn	TbPatPrv	Benin	BENIN	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
799	24026	Geo	Nnn	TbPatPrv	Bermuda	BERMUDY	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
801	24033	Geo	Nnn	TbPatPrv	Bhutan	BHUTAN	2014-09-15 15:26:00	2018-04-12	dkarczma	pl	
803	24040	Geo	Nnn	TbPatPrv	Bolivia	BOLIWIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
805	24047	Geo	Nnn	TbPatPrv	Bosnia and Herzegovina	BOŚNIA I HERCEGOWINA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
807	24054	Geo	Nnn	TbPatPrv	Botswana	BOTSWANA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
809	24061	Geo	Nnn	TbPatPrv	Bouvet island	WYSPA BOUVETA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
811	24068	Geo	Nnn	TbPatPrv	Brazil	BRAZYLIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
813	24075	Geo	Nnn	TbPatPrv	British indian ocean territory	BRYTYJSKIE TERYTORIUM OCEANU INDYJSKIEGO	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
815	24082	Geo	Nnn	TbPatPrv	Brunei Darussalam	BRUNEI DARUSSALAM	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
817	24089	Geo	Nnn	TbPatPrv	Bulgaria	BUŁGARIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
819	24096	Geo	Nnn	TbPatPrv	Burkina Faso	BURKINA FASO	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
821	24103	Geo	Nnn	TbPatPrv	Burundi	BURUNDI	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
823	24110	Geo	Nnn	TbPatPrv	Cambodia	KAMBODŻA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
825	24117	Geo	Nnn	TbPatPrv	Cameroon	KAMERUN	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
827	24124	Geo	Nnn	TbPatPrv	Canada	KANADA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
829	24131	Geo	Nnn	TbPatPrv	Cape verde	REPUBLIKA ZIELONEGO PRZYLĄDKA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
831	24138	Geo	Nnn	TbPatPrv	Cayman islands	KAJMANY	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
833	24145	Geo	Nnn	TbPatPrv	Central African Republic	REPUBLIKA ŚRODKOWEJ AFRYKI	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
835	24152	Geo	Nnn	TbPatPrv	Chad	CZAD	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
837	24159	Geo	Nnn	TbPatPrv	Chile	CHILE	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
839	24166	Geo	Nnn	TbPatPrv	China	CHINY	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
841	24173	Geo	Nnn	TbPatPrv	Christmas island	WYSPA BOŻEGO NARODZENIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
843	24180	Geo	Nnn	TbPatPrv	Cocos (keeling) islands	WYSPY KOKOSOWE	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
845	24187	Geo	Nnn	TbPatPrv	Colombia	KOLUMBIA	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
847	24194	Geo	Nnn	TbPatPrv	Comoros	KOMORY	2014-09-15 15:09:00	2018-04-12	dkarczma	pl	
