idMLL	id	Type	Sub	Ori	LblEN	LblLNG	LastUpd	LastUpdTrad	User	Lng
103	426	Com	Nnn	TbSit	Contact with other patients/families	Kontakt z innymi pacjentami/rodzinami	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
105	432	Com	Nnn	TbSit	Portal to access relevant websites	Dostęp do odpowiednich stron	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
107	438	Com	Nnn	TbSit	Other	Inne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
109	444	Adm	Nnn	TbSit	Professional network	Sieć naukowa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
111	450	Adm	Nnn	TbSit	Learned society	Towarzystwo naukowe	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
113	456	Adm	Nnn	TbSit	Organisation for the promotion of research	Organizacja wspierająca badania naukowe	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
115	462	Adm	Nnn	TbSit	European patient organisation	Europejska organizacja pacjentów	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
117	468	Adm	Nnn	TbSit	American patient organisation	Amerykańska organizacja pacjentów	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
119	474	Adm	Nnn	TbSit	International patient organisation	Międzynarodowa organizacja pacjentów	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
121	480	Adm	Nnn	TbSit	National patient organisation	Krajowa organizacja pacjentów	2014-01-07 17:41:00	2018-04-12	dkarczma	pl	
123	486	Adm	Nnn	TbSit	Company marketing orphan drugs	Firma produkująca leki sieroce	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
125	492	Adm	Nnn	TbSit	Scientific publication	Publikacja naukowa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
127	498	Adm	Nnn	TbSit	University	Uniwersytet	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
129	504	Adm	Nnn	TbSit	Hospital	Szpital	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
131	510	Adm	Nnn	TbSit	Research organisation	Organizacja naukowa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
133	516	Adm	Nnn	TbSit	Public health agency	Agencja zdrowia publicznego	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
135	522	Adm	Nnn	TbSit	Other	Inne	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
137	528	Pub	Nnn	TbSit	General public	Ogół społeczństwa	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
139	534	Pub	Nnn	TbSit	Health professionals	Lekarze specjaliści	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
141	540	Pub	Nnn	TbSit	Teachers, students	Nauczyciele, studenci	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
143	546	Pub	Nnn	TbSit	Lay people and their families	Ludzie świeccy i ich rodziny	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
145	552	Acc	Nnn	TbSit	For fee	Za opłatą	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
147	558	Acc	Nnn	TbSit	For fee/ partially	Za opłatą/ częściowo	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
149	564	Acc	Nnn	TbSit	Free access	Bezpłatny dostęp	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
151	628	Typ	Dec	TlMllPat	Age of death		2009-09-19 22:27:00		BUedit	pl	
153	634	Typ	Prv	TlMllPat	Prevalence		2009-09-19 22:27:00		BUedit	pl	
155	640	Fce	Nnn	TlPatSgn	Very frequent	Bardzo często	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
157	646	Fce	Nnn	TlPatSgn	Frequent	Często	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
159	652	Fce	Nnn	TlPatSgn	Occasional	Sporadycznie	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
161	664	Sta	Cns	TbAct	Child clinic	Klinika dla dzieci	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
163	670	Sta	Cns	TbAct	Adult clinic	Klinika dla dorosłych	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
165	887	Typ	Nnn	TbCnt	is a country	to kraj	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
